,행정구역,노인총인구수
0,동읍,6421
1,북면,9089
2,대산면,3342
3,의창동,11691
4,팔룡동,4831
5,명곡동,10661
6,봉림동,8696
7,반송동,8592
8,용지동,5947
9,중앙동,6441
10,상남동,5316
11,사파동,9431
12,가음정동,7488
13,성주동,4547
14,웅남동,2192
15,구산면,2359
16,진동면,4009
17,진북면,1880
18,진전면,2417
19,현동,3137
20,가포동,654
21,월영동,9688
22,문화동,4071
23,반월중앙동,4967
24,완월동,3387
25,자산동,3890
26,교방동,5240
27,오동동,7207
28,합포동,2632
29,산호동,4179
30,내서읍,14693
31,회원1동,4529
32,회원2동,3389
33,석전동,5699
34,회성동,2747
35,양덕1동,3886
36,양덕2동,7452
37,합성1동,2974
38,합성2동,2902
39,구암1동,3373
40,구암2동,3021
41,봉암동,1118
42,충무동,4544
43,여좌동,3631
44,태백동,1648
45,경화동,3346
46,병암동,2362
47,석동,3521
48,이동,3049
49,자은동,4650
50,덕산동,2488
51,풍호동,5194
52,웅천동,2757
53,웅동1동,2234
54,웅동2동,6714
